ID,Name,V(λ) Reflectance,M(λ) Reflectance,M/P Ratio,L*,a*,b*,R_reflectance,G_reflectance,B_reflectance,Specularity,Roughness
00707,"Wooden Table and Chair","","","0.56","34.91","17.76","16.43","15.14%","4.27%","1.88%","2.24%","0.20"
00708,"Black TV Console","","","1.01","24.66","0.09","-0.23","2.79%","2.91%","3.11%","1.46%","0.20"
00709,"Wooden Cabinet","","","0.62","32.71","14.43","12.79","11.22%","3.08%","1.26%","2.89%","0.20"
00710,"Light Brown Cabinet","","","0.53","47.55","16.57","26.68","28.09%","11.41%","2.99%","2.74%","0.20"
00711,"White Door","","","0.91","86.48","-0.20","8.76","72.10%","69.12%","56.76%","1.87%","0.20"
00712,"White Plaster Wall","","","0.95","91.74","-0.43","5.47","82.39%","80.59%","71.73%","0.57%","0.20"
00713,"Wooden Wardrobe","","","0.53","51.84","15.31","30.86","34.65%","16.46%","5.07%","1.07%","0.20"
00714,"Wooden Drawers","","","0.61","67.85","11.65","33.44","58.21%","34.98%","13.71%","0.15%","0.20"
00715,"Pink Painted Wall","","","0.89","86.77","3.37","8.67","78.33%","68.50%","57.94%","0.33%","0.20"
00716,"White Bookshelf","","","0.95","91.28","-0.61","6.33","81.79%","79.41%","69.52%","0.86%","0.20"
00717,"Yellow Plaster Wall","","","0.90","95.60","-1.02","10.45","92.97%","90.64%","72.64%","0.04%","0.20"
00718,"Dark Green Ceramic Tile Wall","","","0.89","37.24","-6.70","9.16","6.31%","8.53%","4.38%","2.25%","0.20"
00719,"Steel Grey Cabinet","","","1.02","40.30","0.64","-1.24","10.51%","10.36%","10.91%","1.10%","0.20"
00720,"Dark Brown Cabinet","","","0.64","35.80","9.86","15.60","12.54%","6.00%","2.50%","2.03%","0.20"
00721,"Beige Ceramic Tile Floor","","","0.82","64.13","3.67","13.20","39.27%","31.71%","22.26%","0.96%","0.20"
00722,"Plain White Ceramic Tile Wall","","","0.98","95.38","-0.10","2.50","89.43%","88.29%","83.74%","3.81%","0.20"
00723,"White Plastic Toilet Door","","","1.14","82.21","-4.19","-8.03","50.80%","60.27%","70.41%","2.90%","0.20"
00724,"Stone Countertop","","","0.91","32.32","1.56","3.35","5.32%","4.30%","3.29%","2.94%","0.20"
00725,"Brown Tile Counter","","","0.86","56.68","4.10","8.33","28.35%","22.61%","17.95%","1.63%","0.20"
00726,"Brown Cabinet Door","","","0.59","37.74","12.99","17.86","14.86%","5.66%","1.63%","2.96%","0.20"
00727,"Refrigerator","","","0.91","66.70","0.28","7.11","27.58%","27.02%","23.21%","13.28%","0.10"
00728,"Black Window Mullion","","","1.01","25.99","-0.09","-0.29","3.83%","3.89%","3.94%","0.89%","0.10"
00729,"Grey Window Mullion","","","0.95","72.02","0.16","4.50","41.05%","39.86%","36.04%","6.73%","0.10"
00730,"Ceramic Tile Floor","","","0.99","87.09","-0.04","1.47","70.18%","69.39%","66.76%","2.92%","0.10"
00731,"White Wooden Door","","","0.93","89.35","0.09","7.70","78.93%","75.02%","64.13%","0.80%","0.20"
00732,"White Plaster Wall","","","0.96","91.67","0.00","5.11","82.89%","80.06%","72.22%","0.53%","0.20"
00733,"Red Painted Wall","","","0.34","46.84","50.50","28.84","53.92%","4.74%","5.03%","0.14%","0.20"
00734,"Stone Ceramic Tile Wall","","","0.96","90.88","0.11","4.87","80.39%","77.63%","70.01%","3.64%","0.20"
00735,"Purple Couch","","","0.75","39.17","11.52","11.39","17.57%","9.03%","6.79%","0.07%","0.20"
00736,"Dark Brown Wooden Table","","","0.99","26.06","0.24","0.16","2.91%","2.93%","3.02%","1.90%","0.20"
00737,"Ruby Stone Ceramic Tile Floor","","","0.84","66.48","5.58","10.44","43.40%","33.55%","26.28%","1.64%","0.20"
00738,"Yellow Wooden Cabinet","","","0.63","72.68","7.43","31.59","60.64%","42.43%","16.50%","2.39%","0.20"
00739,"Grey Stone Countertop","","","0.84","52.93","2.02","10.04","22.74%","19.04%","13.30%","2.36%","0.20"
00740,"Refrigerator","","","1.01","77.00","-0.43","0.30","47.32%","47.56%","47.20%","7.65%","0.10"
00741,"Beige Plastic Toilet Door","","","0.88","91.02","-0.25","13.60","85.24%","79.10%","59.37%","0.97%","0.20"
00742,"Black Window Frame","","","0.78","31.69","4.20","8.76","7.41%","5.34%","3.63%","1.47%","0.10"
00743,"Grey Painted Wall","","","1.04","42.98","-1.81","-1.27","12.08%","13.42%","13.70%","0.00%","0.20"
00744,"Wardrobe","","","0.78","75.91","6.72","17.70","62.71%","45.49%","29.12%","4.33%","0.20"
00745,"White Clothes Cabinet","","","0.96","92.25","-1.14","5.18","82.16%","81.60%","72.81%","2.36%","0.20"
00746,"Green Painted Wall","","","0.71","82.51","-13.92","37.70","56.53%","69.54%","22.98%","0.05%","0.20"
00747,"Beige Wooden Door","","","0.90","90.80","0.42","10.52","83.91%","77.81%","62.57%","2.40%","0.20"
00748,"White Table","","","0.95","93.88","-1.18","6.92","86.89%","85.55%","73.75%","2.55%","0.20"
00749,"White Exterior Wall","","","0.98","86.77","-0.61","3.00","70.51%","69.65%","65.29%","0.27%","0.20"
00750,"Purple Metal Shade","","","0.99","44.48","6.50","-0.53","17.42%","12.50%","14.16%","0.43%","0.20"
00751,"White Ceramic Tile Floor","","","0.98","85.33","-0.50","1.94","65.92%","65.89%","63.10%","3.13%","0.10"
00752,"White Plaster Wall","","","0.92","88.65","1.12","7.10","78.57%","73.39%","63.45%","0.12%","0.20"
00753,"Grey Sofa Fabric","","","0.99","28.88","-0.37","1.11","6.03%","5.80%","5.54%","0.00%","0.30"
00754,"Yellow Door","","","0.71","75.58","1.33","24.98","57.50%","50.11%","25.11%","1.04%","0.20"
00755,"Beige Floor Tile","","","0.85","79.60","3.98","13.01","65.69%","54.12%","40.69%","1.79%","0.20"
00756,"Light Blue Tile Wall","","","1.03","89.80","-1.03","-2.29","72.09%","75.20%","78.16%","3.93%","0.10"
00757,"Dark Blue Tile Wall","","","1.35","32.00","3.85","-15.84","2.49%","3.14%","9.63%","3.56%","0.10"
00758,"Black Laminate Table","","","0.99","26.02","0.64","-0.14","3.42%","3.27%","3.31%","1.50%","0.20"
00759,"Green Cabinet","","","1.05","80.38","-12.23","2.66","42.07%","60.78%","52.49%","3.34%","0.20"
00760,"Blue Countertop","","","1.14","61.65","-4.18","-5.04","25.51%","29.88%","33.66%","0.71%","0.20"
00761,"Red Countertop","","","0.75","50.53","11.66","11.36","27.64%","15.97%","12.23%","0.93%","0.20"
00762,"Dark Brown Cabinet","","","0.96","26.81","1.17","0.95","3.70%","3.29%","3.15%","1.72%","0.20"
00763,"Beige Painted Wall","","","0.89","85.57","1.87","9.67","73.86%","67.03%","54.55%","0.21%","0.20"
00764,"Green Painted Wall","","","0.69","88.29","-9.61","38.85","73.83%","80.19%","28.22%","0.11%","0.20"
00765,"White Laminate Cabinet","","","0.95","93.03","-0.81","5.98","84.97%","83.31%","73.12%","2.51%","0.20"
00766,"Wooden Bed Frame","","","0.58","62.06","11.75","33.11","47.99%","27.89%","10.02%","0.29%","0.20"
00767,"White Laminate Cabinet 2","","","0.96","93.08","-0.90","5.60","84.77%","83.30%","73.67%","2.94%","0.20"
00768,"Window Mullion","","","0.76","28.58","4.49","8.44","6.55%","4.67%","3.27%","0.83%","0.20"
00769,"Exterior Concrete Floor","","","0.98","53.98","0.00","1.50","21.77%","21.52%","20.48%","0.63%","0.20"
00770,"Exterior Concrete Wall","","","0.97","86.52","-0.31","2.96","71.99%","71.21%","66.26%","0.00%","0.20"
00771,"Exterior Concrete Floor 2","","","0.92","57.26","0.61","5.28","26.97%","25.30%","21.61%","0.00%","0.20"
00772,"Wood Parquet Floor","","","0.74","32.80","6.87","9.23","9.50%","5.67%","3.70%","1.25%","0.20"
00773,"White Wall Plaster","","","0.99","95.80","-1.20","1.76","88.97%","90.31%","86.71%","0.00%","0.20"
00774,"Faux Wood Laminate","","","0.94","58.49","2.28","5.79","30.18%","25.80%","22.61%","0.00%","0.20"
00775,"Grey Mullions","","","1.00","77.39","-0.48","0.50","47.69%","48.45%","47.81%","7.68%","0.10"
00776,"Ceramic Tile Floor","","","0.86","68.29","2.13","10.71","43.41%","37.62%","28.63%","0.78%","0.20"
00777,"White Ceramic Sink","","","0.99","95.34","-0.77","1.66","88.07%","88.69%","85.47%","1.51%","0.10"
00778,"Exterior Wooden Balcony Floor","","","0.68","60.14","8.38","22.89","39.07%","24.93%","11.89%","2.33%","0.20"
00779,"White Exterior Wall Plaster","","","0.98","94.49","-1.01","3.26","86.92%","87.06%","81.24%","0.00%","0.20"
00780,"White Ceramic Tile Floor","","","0.89","75.45","1.42","9.75","52.47%","46.68%","36.43%","4.07%","0.10"
00781,"Grey Metallic Cabinet Door","","","0.93","65.04","0.74","4.74","31.58%","29.96%","26.55%","6.03%","0.05"
00782,"White Plaster Wall","","","0.97","94.44","-0.42","3.87","88.06%","86.64%","80.03%","0.28%","0.20"
00783,"Window Mullion","","","1.10","88.44","-2.97","-5.35","65.55%","72.23%","79.41%","4.15%","0.10"
00784,"Laminate Door","","","0.76","35.80","5.88","10.57","10.38%","6.07%","3.42%","2.34%","0.20"
00785,"Grey Plaster Wall","","","0.95","53.55","0.53","2.81","22.53%","21.61%","19.81%","0.00%","0.20"
00786,"Kitchen Drawer","","","1.02","29.62","0.05","-0.95","0.05%","0.08%","0.03%","6.00%","0.20"
00787,"White Desk","","","0.97","93.47","-0.94","3.61","84.49%","84.48%","78.14%","1.43%","0.20"
00788,"Beige Floor","","","0.88","75.23","1.78","10.58","54.60%","48.32%","37.83%","0.22%","0.20"
00789,"White Ceramic Wall","","","0.95","90.44","0.23","5.27","78.83%","75.08%","66.80%","9.00%","0.20"
00790,"Glossy Black Countertop","","","1.01","24.84","0.09","-0.40","2.14%","2.21%","2.34%","2.20%","0.05"
00791,"Couch","","","1.02","25.44","-0.08","-0.65","3.82%","3.92%","4.06%","0.67%","0.30"
00792,"Black Door","","","1.00","24.13","0.02","-0.11","0.30%","0.40%","0.48%","3.77%","0.20"
00793,"White Ceramic Tile Floor","","","0.94","85.98","0.20","6.70","70.44%","66.82%","57.67%","3.95%","0.10"
00794,"Yellow Plaster Wall","","","0.71","86.32","5.28","26.25","85.91%","68.57%","37.60%","0.13%","0.20"
00795,"Black Sofa","","","0.97","28.05","1.41","0.70","4.67%","4.16%","4.09%","1.26%","0.30"
00796,"Window Mullion","","","0.98","27.00","0.70","0.33","2.43%","2.23%","2.17%","2.89%","0.10"
00797,"Brown Leather Cupboard","","","0.92","45.72","3.11","3.13","16.21%","13.78%","12.71%","1.03%","0.20"
00798,"Dark Brown Wooden Table","","","0.97","25.91","0.88","0.80","3.98%","3.69%","3.59%","1.02%","0.20"
00799,"White Glossy Shelf","","","1.00","93.54","-1.26","1.43","82.21%","83.75%","80.56%","6.23%","0.05"
00800,"Brown Cabinet","","","0.73","48.86","8.23","14.13","24.57%","16.18%","10.54%","0.14%","0.20"
00801,"Door","","","0.52","52.25","22.05","26.73","39.49%","15.05%","6.68%","1.14%","0.20"
00802,"Beige Ceramic Tile Kitchen Floor","","","0.97","89.60","-0.05","3.00","76.75%","75.43%","70.83%","0.95%","0.20"
00803,"Beige Ceramic Tile Wall","","","0.99","93.92","-0.10","1.77","85.38%","84.59%","81.36%","4.21%","0.10"
00804,"Dark Counter Top","","","0.98","27.10","0.41","0.82","2.25%","2.17%","2.09%","3.03%","0.20"
00805,"Brown Cabinet Door","","","0.57","42.76","19.99","19.85","25.04%","8.90%","4.84%","1.13%","0.20"
00806,"Refrigerator","","","0.95","61.04","-0.89","4.18","13.38%","13.09%","11.92%","18.85%","0.10"
00807,"White Cabinet","","","1.03","91.70","-0.39","-1.62","77.64%","78.31%","80.99%","6.71%","0.20"
00808,"Black Ceramic Wall Tile","","","0.99","24.47","0.10","0.22","0.32%","0.34%","0.29%","3.93%","0.10"
00809,"Dark Brown Door","","","0.60","45.47","16.39","18.51","25.65%","11.24%","6.14%","1.24%","0.20"
00810,"Laminate Floor","","","0.73","54.50","7.35","16.76","30.32%","20.57%","12.29%","0.87%","0.20"
00811,"White Plaster Wall","","","0.86","80.99","2.46","11.41","65.89%","58.26%","45.18%","0.15%","0.20"
00812,"Plum Bed","","","0.74","32.44","15.27","6.26","13.08%","5.30%","5.30%","0.27%","0.30"
00813,"Wardrobe Door","","","0.78","38.27","13.74","5.29","15.33%","7.08%","7.10%","1.50%","0.20"
00814,"Brown Parquet Floor","","","0.53","47.19","15.32","27.86","26.95%","11.37%","2.54%","2.80%","0.20"
00815,"White Painted Wall","","","0.90","92.77","-1.05","11.69","87.22%","83.58%","65.27%","0.48%","0.20"
00816,"Black Leather Sofa","","","1.02","25.30","-0.08","-0.50","3.37%","3.45%","3.55%","1.11%","0.20"
00817,"Brown Laminate TV Console","","","0.87","30.01","5.12","4.11","6.36%","3.94%","3.48%","1.90%","0.20"
00818,"Light Brown Cabinet","","","0.86","78.32","1.44","12.92","60.01%","53.19%","39.05%","1.38%","0.20"
00819,"Dark Brown Door","","","0.88","28.88","3.96","3.51","3.98%","2.24%","1.66%","3.32%","0.20"
00820,"Brown Bedroom Door","","","0.48","48.17","18.86","30.40","29.84%","10.11%","0.69%","4.15%","0.20"
00821,"Brown Cupboard","","","0.98","27.50","1.36","0.31","3.45%","2.97%","2.96%","2.27%","0.20"
00822,"Brown Bed Headboard","","","1.03","25.52","-0.11","-0.91","3.84%","3.97%","4.18%","0.65%","0.20"
00823,"Laminate Wardrobe","","","0.94","69.00","-1.24","6.30","40.05%","39.53%","33.19%","0.59%","0.20"
00824,"PVC Toilet Door","","","1.14","95.30","2.89","-14.88","82.74%","85.59%","115.73%","2.15%","0.20"
00825,"Dresser","","","0.93","88.57","-0.40","8.27","76.30%","72.98%","60.82%","3.02%","0.10"
00826,"Beige Floor Tile","","","0.88","82.39","1.89","10.28","67.45%","60.27%","48.01%","1.40%","0.20"
00827,"White Wall Tile","","","0.98","95.66","-0.01","2.40","90.25%","88.85%","84.33%","4.54%","0.10"
00828,"Countertop","","","0.89","86.40","0.12","12.42","74.60%","68.65%","52.11%","1.92%","0.20"
00829,"Light Brown Laminate Cabinet","","","0.92","82.97","0.71","9.56","67.50%","61.37%","49.91%","1.37%","0.20"
00830,"Brown Laminate Cabinet","","","0.73","68.47","8.96","25.42","58.93%","38.27%","20.18%","0.00%","0.20"
00831,"Sink","","","0.78","72.76","5.12","18.27","56.10%","43.31%","27.69%","0.79%","0.20"
00832,"Green Toilet Door","","","1.07","50.02","-13.49","5.05","9.05%","17.66%","12.45%","3.67%","0.10"
00833,"Specular Window Mullion","","","1.00","89.03","-0.37","0.83","66.74%","68.21%","68.04%","20.03%","0.05"
00834,"Dining Table Sheet","","","0.86","62.94","7.31","7.53","39.42%","29.03%","25.01%","0.94%","0.20"
00835,"Grey Ceramic Tile Floor","","","0.97","85.12","-0.09","3.08","66.77%","65.42%","60.56%","2.96%","0.10"
00836,"White Plaster Wall","","","0.92","92.59","0.85","7.41","87.32%","82.13%","70.87%","0.24%","0.20"
00837,"Dark Brown Wooden Shelf","","","0.93","26.24","3.43","1.54","3.23%","1.91%","1.83%","2.70%","0.20"
00838,"Wooden Door","","","0.48","40.23","19.98","23.72","21.96%","6.98%","2.21%","1.89%","0.20"
00839,"Aluminium Brown Window Mullion","","","0.75","32.70","4.97","10.09","7.41%","5.00%","3.03%","2.27%","0.10"
00840,"Dark Brown Leather Couch","","","0.97","26.38","1.43","0.42","4.74%","4.28%","4.28%","0.52%","0.20"
00841,"Black Leather Couch","","","1.01","25.16","0.13","-0.48","4.11%","4.13%","4.25%","0.35%","0.20"
00842,"Beige Door","","","0.79","87.23","1.66","19.97","80.92%","70.73%","44.74%","2.03%","0.20"
00843,"White Ceramic Tile Floor","","","0.93","83.96","1.09","6.48","67.96%","63.34%","55.22%","1.50%","0.20"
00844,"Light Blue Ceramic Tile Floor","","","1.02","90.74","-1.37","-0.66","74.77%","77.76%","78.07%","3.23%","0.10"
00845,"Blue Plastic Toilet Door","","","1.31","38.08","-10.53","-6.80","1.53%","7.44%","9.41%","3.94%","0.10"
00846,"Blue Ceramic Tile Counter","","","1.15","60.34","-5.00","-4.88","21.97%","27.05%","30.36%","2.76%","0.10"
00847,"Black Ceramic Tile Counter","","","0.89","37.62","0.95","5.74","9.27%","8.10%","6.05%","1.90%","0.10"
00848,"White Table","","","0.96","92.79","-1.15","5.59","83.71%","82.94%","73.49%","1.99%","0.20"
00849,"Refrigerator","","","0.98","72.04","-0.54","2.38","36.36%","36.81%","34.40%","11.51%","0.10"
00850,"Black Wooden Wardrobe","","","0.98","27.70","1.36","0.39","4.02%","3.49%","3.40%","1.81%","0.20"
00851,"Blue Childrens Cabinet","","","1.86","36.21","-7.85","-21.46","2.52%","8.33%","18.05%","0.89%","0.20"
00852,"Red Childrens Cabinet","","","0.48","38.81","40.32","16.75","32.56%","2.16%","3.99%","1.47%","0.20"
00853,"Yellow Childrens Cabinet","","","0.30","69.12","19.24","65.16","70.25%","35.41%","0.00%","1.81%","0.20"
00854,"White Childrens Cabinet","","","0.95","88.15","-0.63","6.48","74.52%","72.33%","62.73%","2.04%","0.20"
00855,"Blue Door","","","1.03","83.91","-6.23","3.46","57.85%","65.51%","59.01%","1.44%","0.20"
00856,"White Ceramic Tile Floor","","","0.92","85.35","0.56","7.62","69.96%","65.33%","54.90%","4.23%","0.20"
00857,"White Wall","","","0.99","96.77","-0.77","2.28","92.11%","92.30%","87.97%","0.64%","0.20"
00858,"Wooden Door","","","0.64","45.53","12.26","16.88","20.82%","9.87%","4.15%","3.77%","0.20"
00859,"Translucent Plastic Reflection","","","1.16","80.77","-4.73","-8.77","46.19%","56.65%","67.35%","5.16%","0.05"
00860,"Wooden Builtin Cabinet","","","0.87","78.98","2.63","12.19","63.09%","54.11%","41.48%","0.33%","0.20"
00861,"Light Grey Interior Metal Partition","","","1.08","89.37","-1.63","-4.69","69.54%","73.66%","80.45%","4.69%","0.10"
00862,"Dark Brown Window Mullion","","","0.78","34.27","5.28","8.15","8.49%","5.94%","4.43%","2.00%","0.10"
00863,"Laminate TV Shelf","","","0.90","87.88","0.14","9.61","75.18%","70.47%","55.97%","6.42%","0.10"
00864,"Dark Brown Cabinet","","","0.86","47.71","5.11","6.95","20.49%","15.31%","12.72%","0.46%","0.20"
00865,"Wooden Door","","","0.65","38.49","13.64","14.13","16.09%","6.67%","3.62%","2.17%","0.10"
00866,"Light Grey Ceramic Tile Floor","","","0.92","81.73","0.63","7.95","63.86%","59.41%","49.82%","1.06%","0.20"
00867,"Cabinet","","","0.88","81.20","3.89","9.69","65.98%","54.51%","43.32%","6.80%","0.20"
00868,"Laminate Countertop","","","0.96","80.98","-1.53","4.60","57.59%","58.28%","51.72%","2.43%","0.20"
00869,"Light Grey Window Frame","","","1.00","87.89","-0.49","0.54","70.48%","71.20%","70.12%","3.12%","0.10"
00870,"Purple Plastic Toilet Door","","","1.34","68.21","16.37","-26.58","42.15%","27.17%","65.32%","5.36%","0.10"
00871,"Refrigerator","","","0.97","72.97","-0.76","3.18","29.81%","30.01%","27.29%","22.07%","0.10"
00872,"Brown Ceramic Tile Wall","","","0.96","82.83","-0.39","4.08","61.97%","60.57%","54.85%","3.96%","0.10"
00873,"Grey Ceramic Tile Wall","","","0.99","89.67","-0.85","2.13","74.60%","75.05%","71.18%","4.02%","0.10"
00874,"Light Brown Glossy Wardrobe","","","0.90","85.18","1.61","8.96","72.73%","65.99%","54.77%","0.39%","0.05"
00875,"Dark Brown Glossy Wardrobe","","","0.76","47.86","7.73","11.51","18.24%","10.28%","5.47%","5.88%","0.05"
00876,"Brown Recliner","","","0.95","28.85","1.32","1.52","6.07%","5.49%","5.18%","0.21%","0.20"
00877,"Dining Table","","","0.96","89.16","-0.55","4.47","75.95%","74.54%","67.65%","1.39%","0.20"
00878,"White Ceramic Table","","","0.96","88.56","-0.37","4.21","74.44%","73.03%","66.55%","2.14%","0.20"
00879,"Exterior Concrete Floor","","","0.98","62.65","0.00","1.67","31.48%","31.14%","29.62%","0.18%","0.30"
00880,"Exterior Concrete Wall","","","0.98","86.56","-0.01","1.98","70.10%","69.24%","66.26%","0.03%","0.30"
00881,"White Ceramic Tile Floor","","","0.92","82.44","0.53","8.23","64.05%","59.40%","48.90%","4.45%","0.20"
00882,"White Plaster Wall","","","0.98","90.27","-1.55","3.34","76.72%","77.65%","71.91%","0.11%","0.20"
00883,"Wooden Door","","","0.52","49.93","19.25","28.03","33.98%","13.58%","4.68%","1.61%","0.20"
00884,"White Wooden Cabinet","","","0.96","93.06","0.08","4.61","85.90%","82.63%","75.09%","3.00%","0.20"
00885,"Darkbrown Drawer","","","1.02","32.40","-0.68","0.24","5.73%","5.92%","5.87%","1.46%","0.20"
00886,"Window Mullion","","","1.00","87.87","-0.57","0.94","67.59%","68.44%","66.85%","11.61%","0.10"
00887,"Glosssy White Drawer","","","1.02","92.33","-1.37","-0.20","78.30%","80.58%","79.98%","6.60%","0.20"
00888,"Wooden Brown Countertop","","","0.87","51.24","1.69","8.53","21.04%","17.98%","13.56%","1.58%","0.20"
00889,"White Cabinet","","","0.97","91.55","-1.15","4.09","80.00%","80.12%","73.08%","1.65%","0.20"
00890,"White Ceramic Tile Floor","","","0.93","84.05","1.16","5.70","67.71%","63.43%","56.24%","1.71%","0.20"
00891,"White Ceramic Tile Wall","","","0.99","94.35","-0.91","2.24","85.86%","86.49%","82.32%","1.14%","0.20"
00892,"Refrigerator","","","0.97","64.33","0.17","2.53","24.33%","23.76%","21.99%","12.51%","0.10"
00893,"Grey Ceramic Tile Floor","","","0.92","59.82","0.57","5.81","29.14%","27.07%","22.85%","1.19%","0.20"
00894,"Black Desktop","","","1.01","24.05","0.15","-0.44","3.95%","3.94%","4.05%","0.17%","0.20"
00895,"White Drawer","","","0.94","93.03","-0.88","6.66","85.41%","83.80%","72.97%","0.33%","0.20"
00896,"Grey Couch","","","1.06","59.81","-0.69","-2.40","27.09%","27.85%","29.73%","0.00%","0.30"
00897,"Door","","","0.54","46.82","18.18","23.46","28.82%","11.88%","5.10%","1.27%","0.20"
00898,"White Plaster Exterior Wall","","","0.98","93.95","-0.62","3.21","88.24%","87.50%","81.54%","0.00%","0.20"
00899,"Ceramic Stone Tile","","","0.84","59.35","4.30","9.91","30.80%","24.09%","17.90%","3.39%","0.20"
00900,"Beige Plaster Wall","","","0.93","94.56","-1.27","8.33","89.47%","87.85%","73.91%","0.00%","0.20"
00901,"Laminate TV Cabinet","","","0.78","57.10","5.39","14.15","32.37%","23.96%","16.13%","0.11%","0.20"
00902,"Natural Stone Tile","","","0.85","72.69","0.96","12.35","49.90%","45.26%","33.13%","0.00%","0.20"
00903,"Ceramic Granite Tile","","","0.99","66.01","-1.77","2.82","34.16%","34.74%","31.93%","1.45%","0.10"
00904,"Ceramic White Tile","","","0.98","86.66","-0.63","2.57","68.70%","68.39%","64.30%","3.97%","0.10"
00905,"Ceramic Grey Tile","","","1.01","78.72","-0.94","0.29","51.68%","52.88%","52.16%","3.99%","0.10"
00906,"White Painted Wooden Cabinet","","","0.94","91.84","-0.69","7.08","82.29%","80.08%","68.12%","5.21%","0.20"
00907,"Ceramic Black Stovetop","","","0.96","27.48","0.69","1.08","3.07%","2.84%","2.65%","2.48%","0.20"
00908,"Blue Plaster Wall","","","1.08","89.82","-7.50","-1.88","65.04%","78.83%","78.78%","0.00%","0.20"
00909,"Wooden Wardrobe","","","0.80","52.59","6.48","11.31","26.21%","18.31%","13.05%","1.50%","0.20"
00910,"Window Mullion","","","0.68","37.47","6.01","15.24","7.02%","4.24%","1.47%","5.69%","0.10"
00911,"Bedroom Door","","","0.45","43.18","20.42","28.78","25.08%","7.82%","1.11%","2.79%","0.20"
00912,"White Ceramic Tile Floor","","","0.97","86.13","0.24","2.76","69.08%","67.19%","62.78%","3.32%","0.20"
00913,"Beige Sofa Fabric","","","0.96","79.51","1.18","3.95","59.12%","55.15%","50.85%","0.44%","0.20"
00914,"White Painted Wall","","","0.98","93.73","0.07","2.48","86.37%","84.64%","80.68%","0.11%","0.20"
00915,"Wooden Shelf","","","0.74","43.42","7.79","12.91","18.88%","11.81%","7.71%","0.61%","0.20"
00916,"White Tile Wall","","","0.99","89.29","-0.82","1.99","73.65%","74.13%","70.51%","4.19%","0.10"
00917,"Beige Painted Door Frame","","","0.78","79.96","3.59","19.03","67.63%","55.86%","35.62%","1.25%","0.20"
00918,"Beige Painted Door","","","0.79","81.90","3.47","18.56","71.25%","59.52%","38.66%","1.22%","0.20"
00919,"Wooden Frame","","","0.63","42.19","9.34","19.47","19.40%","11.13%","5.27%","0.40%","0.20"
00920,"Beige Tile Floor","","","0.82","66.51","3.87","13.42","42.93%","34.56%","24.38%","1.10%","0.20"
00921,"Aluminium Window Mullion","","","0.97","85.69","-0.49","3.43","62.91%","62.73%","58.25%","13.62%","0.10"
00922,"White Tile Wall","","","0.98","94.83","0.11","2.64","88.63%","86.81%","82.11%","3.75%","0.20"
00923,"Wooden Dining Table","","","0.46","45.30","20.26","27.07","26.97%","8.94%","1.66%","3.16%","0.20"
00924,"Brown Countertop","","","0.77","33.06","4.89","8.84","8.13%","5.26%","3.07%","2.05%","0.20"
00925,"Beige Cabinet","","","0.83","83.91","2.69","15.09","73.29%","63.13%","45.06%","1.73%","0.20"
00926,"Beige Toilet Door","","","0.78","78.51","3.12","18.78","64.17%","53.72%","34.10%","0.85%","0.20"
00927,"Wooden Dresser","","","0.52","57.29","15.65","35.78","43.39%","21.26%","5.73%","1.18%","0.20"
00928,"Beige Door","","","0.80","78.44","2.54","16.51","62.93%","54.04%","36.48%","0.09%","0.20"
00929,"Red Brick Exterior Wall","","","0.56","42.50","29.30","15.33","30.61%","7.71%","7.01%","0.12%","0.30"
00930,"White Painted Exterior Wall","","","0.97","87.39","-2.16","4.00","69.74%","72.03%","65.15%","0.12%","0.20"
00931,"Ceramic Tile","","","0.96","88.89","-0.21","4.60","75.65%","73.48%","66.99%","2.45%","0.20"
00932,"White Plaster Wall","","","0.97","94.52","0.11","3.23","88.82%","86.70%","81.54%","0.00%","0.20"
00933,"Beige Plaster Wall 2","","","0.73","91.10","1.73","27.20","93.40%","80.47%","43.61%","0.00%","0.20"
00934,"Wooden Door","","","0.58","63.35","11.66","33.99","49.35%","28.65%","9.25%","1.52%","0.20"
00935,"Laminate Wood Floor","","","0.70","37.19","7.85","12.99","11.93%","6.36%","2.95%","2.64%","0.20"
00936,"Faux Wood Cabinet","","","0.81","77.39","6.11","15.03","63.84%","48.70%","33.97%","3.71%","0.10"
00937,"Stone Decorative Wall","","","0.95","45.61","1.22","2.02","15.85%","14.74%","13.90%","0.11%","0.20"
00938,"Window Mullion","","","1.08","47.53","-1.70","-3.57","12.68%","14.63%","16.35%","2.37%","0.20"
00939,"White Plaster Wall","","","0.94","87.90","-0.22","5.96","74.75%","72.60%","63.86%","0.00%","0.20"
00940,"Artificial Grass Matt","","","0.64","37.10","-5.65","20.10","9.31%","11.07%","3.65%","0.00%","0.20"
00941,"Cabinet","","","0.95","36.69","0.92","2.00","9.65%","8.96%","8.33%","0.36%","0.20"
00942,"Counter Top","","","0.92","93.78","-1.48","11.17","88.85%","85.86%","68.12%","0.54%","0.20"
00943,"Ceramic Grey Tile","","","0.91","68.91","0.54","7.59","41.71%","38.58%","31.67%","1.15%","0.20"
00944,"Ceramic Light Grey Tile","","","0.96","85.62","1.04","3.38","69.92%","66.54%","62.30%","1.24%","0.20"
00945,"Cabinet","","","0.97","80.20","-0.11","2.89","57.84%","56.91%","53.15%","0.75%","0.20"
00946,"Off White Ceramic Floor Tile","","","0.94","85.91","0.28","6.56","70.25%","66.44%","57.26%","4.41%","0.10"
